session,turn,time,pid,origin,trigger,text,audio_chunks,image_frames,scope,action,action_status,expression,reply,reply_mode,outputs,ingest_ms,commit_category_ready_ms,commit_performance_ready_ms,commit_body_scored_ms,commit_action_fused_ms,commit_action_ms,commit_expression_ms,commit_first_text_ms,commit_first_public_text_ms,commit_route_ms,commit_tts_queued_ms,commit_tts_append_ms,commit_tts_commit_ms,commit_tts_created_ms,commit_tts_pcm_ms,commit_audio_ms,commit_playable250_ms,commit_result_ms,commit_promotion_ms,commit_validation_ms,start_action_ms,start_expression_ms,start_audio_ms,start_result_ms,expr_hold_ms,body_to_action_ms,first_text_to_append_ms,append_to_commit_ms,commit_to_created_ms,created_to_pcm_ms,pcm_to_ws_ms,append_to_audio_ms,performance_to_append_ms,category_compute_ms,child_compute_ms,reply_prefix_wait_ms,reply_ttft_ms,reply_stream_duration_ms,reply_total_ms,reply_delta_count,reply_completion_tokens,route_compute_ms,validation_compute_ms,pure_reply_reported_generation_ms,action_label,expression_label
sess_dee23864,turn_de9f3474_1,2026-09-12T18:44:13.075015+08:00,1515362,proactive,session_enter,,0,0,none,A288,supported,,Hey there—welcome. What’s on your mind today?,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",10.715,469.584,529.516,666.49,666.678,666.93,,467.722,666.829,,467.745,529.639,756.551,530.038,863.018,862.985,863.025,1958.567,666.844,,677.646,,873.701,1969.282,,0.44,61.916,226.912,-226.513,332.98,-0.033,333.347,0.122,468.716,196.732,0.0,467.35,288.768,1958.067,12,13,,,,单手挥手,
sess_dee23864,turn_409a340c_3,2026-09-12T18:44:20.663362+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.028,569.277,651.774,1047.729,1048.049,1048.307,,1158.467,1158.449,201.331,1158.479,1158.649,1158.802,1159.143,1324.883,1324.842,1324.89,1458.876,1048.219,1158.302,1049.336,,1325.871,1459.904,,0.579,0.182,0.153,0.341,165.74,-0.04,166.193,506.875,567.882,478.178,0.0,1158.065,0.27,1458.321,1,,200.813,94.264,1257.007,看镜头,
sess_dee23864,turn_3fc2ea17_5,2026-09-12T18:44:26.590316+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.04,330.823,410.572,581.697,582.012,582.256,,693.346,693.329,204.122,693.358,693.519,693.674,693.971,858.254,858.212,858.262,992.454,582.173,693.216,583.296,,859.252,993.494,,0.559,0.173,0.155,0.297,164.283,-0.042,164.693,282.948,329.441,250.617,0.0,692.969,0.262,991.876,1,,203.597,94.878,787.78,看镜头,
sess_dee23864,turn_e4230dfe_7,2026-09-12T18:44:30.955280+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.099,333.423,414.038,583.628,583.924,584.155,,695.276,695.257,206.957,695.287,695.444,695.593,695.943,856.724,856.689,856.731,858.212,584.073,695.127,585.254,,857.788,859.312,,0.526,0.168,0.149,0.35,160.782,-0.035,161.245,281.405,332.177,249.946,0.0,694.926,0.257,857.709,1,,206.501,94.896,650.7,看镜头,
sess_dee23864,turn_19a1c6ee_9,2026-09-12T18:44:35.252505+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.001,332.941,411.862,583.842,584.131,584.358,,697.362,697.345,206.389,697.372,697.527,697.668,698.029,860.317,860.282,860.324,995.258,584.278,697.23,585.359,,861.283,996.259,,0.516,0.165,0.141,0.361,162.288,-0.035,162.755,285.664,331.634,250.647,0.0,697.009,0.247,994.728,1,,205.904,96.954,788.354,看镜头,
sess_dee23864,turn_aeea04c7_11,2026-09-12T18:44:39.645097+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,好的。,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.951,334.723,415.576,584.367,584.653,584.881,,695.594,695.577,207.404,695.605,695.771,695.925,696.276,858.516,858.477,858.523,993.047,584.801,695.454,585.832,,859.428,993.997,,0.514,0.177,0.154,0.351,162.24,-0.039,162.706,280.195,333.337,249.341,0.0,695.222,0.267,992.509,1,,206.899,94.681,785.129,看镜头,
sess_dee23864,turn_1ba30acf_13,2026-09-12T18:44:44.742313+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.089,340.024,419.78,594.736,595.035,595.269,,708.506,708.487,213.181,708.517,708.681,708.836,709.146,874.81,874.77,874.818,1027.504,595.186,708.358,596.358,,875.859,1028.593,,0.533,0.175,0.155,0.31,165.664,-0.04,166.089,288.901,338.71,254.444,0.0,708.126,0.268,1026.958,1,,212.681,96.938,813.805,看镜头,
sess_dee23864,turn_7b95f580_14,2026-09-12T18:45:15.779461+08:00,1515362,proactive,idle_timeout,,0,0,none,A189,supported,,I'm here whenever you'd like to continue.,,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",0.912,193.923,253.264,388.823,389.017,389.256,,191.949,389.161,,191.971,253.397,465.038,253.774,567.661,567.624,567.668,1712.695,389.175,,390.168,,568.535,1713.607,,0.432,61.447,211.641,-211.264,313.887,-0.037,314.227,0.133,192.963,194.752,0.0,191.565,273.005,1712.145,10,11,,,,轻微点头致意,
sess_dee23864,turn_9e6c7af3_15,2026-09-12T18:45:24.699247+08:00,1515362,proactive,action_finished,,0,1,none,A358,supported,,,,"{""text"": ""suppressed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.597,7.597,126.084,,126.121,126.275,,,,,,,,,,,,126.457,,,127.871,,,128.053,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,双手手指并拢,
sess_dee23864,turn_bc27c8ed_17,2026-09-12T18:45:27.979370+08:00,1515362,user,,看正面镜头,0,0,none,A138,supported,,Okay.,PURE_ACTION,"{""text"": ""completed"", ""audio"": ""completed"", ""expression"": ""not_changed"", ""action"": ""completed""}",1.122,338.358,421.63,592.641,592.979,593.214,,706.168,706.148,209.51,706.179,706.347,706.507,706.919,871.385,871.343,871.393,1006.765,593.133,706.021,594.337,,872.465,1007.887,,0.573,0.179,0.159,0.412,164.467,-0.042,164.996,284.717,337.047,254.024,0.0,705.821,0.272,1006.251,1,,209.036,96.759,796.721,看镜头,
